tierIndex,unitCostInEth,quantityBeforeNextTier
0,0.1579454456,3000
1,0.1816372625,2841
2,0.2084879882,2690
3,0.2395505926,2547
4,0.2753515602,2412
5,0.3164173761,2284
6,0.3638010098,2163
7,0.4180289461,2048
8,0.4806806396,1939
9,0.5522825749,1836
10,0.6349406915,1738
11,0.7297079589,1645
12,0.8386903164,1557
13,0.9639937032,1474
14,1.108250544,1395
15,1.274093262,1321
16,1.465207251,1251
17,1.68475142,1184
18,1.937464133,1121
19,2.228083753,1061
20,2.561875128,1004
21,2.945682561,950
22,3.387403324,899
23,3.895461174,851
24,4.479332838,805
25,5.151127467,762
26,5.923480696,721
27,6.811660586,682
28,7.833041134,645
29,9.007628765,610
30,10.35858881,577
31,11.91224551,546
32,13.6986085,517
33,15.75295226,489
34,18.11581613,463
35,20.83300428,438
36,23.95769168,414
37,27.55095057,392
38,31.68332991,371
39,36.43538189,357